八,bā,eight
爸爸,bàba,father
百,bǎi,a hundred
杯,bēi,the measure word for drinks
杯子,bēizi,cup/mug
本,běn,the measure word for reading material
不,bù,not
菜,cài,cuisine
茶,chá,tea
茶杯,chábēi,tea cup
吃,chī,to eat
厨房,chúfáng,kitchen
厨师,chúshī,chef/cook
大学,dàxué,university
的,de,the possessive particle
弟弟,dìdi,younger brother
读,dú,to read (loudly)
多大,duōdà,how old (for ages > 10)
多少,duōshǎo,how much (for quantities >10)
二,èr,two
儿子,érzi,son
个,gè,the universal measure word
哥哥,gēge,older brother
工作,gōngzuò,work / to work
狗,gǒu,dog
汉语,Hànyǔ,the Chinese language
汉字,Hànzì,traditional Chinese character
号,hào,number
喝,hē,to drink
很好,hěn hǎo,very good
会,huì,has acquired (modal word)
几,jī,how many (< 10)
几个,jĭ ge,a few
几岁,jī suì,how old (< 10)
家,jiā,family
加拿大,Jiānádà,Canada
叫,jiào,to be called
姐姐,jiějie,older sister
今年,jīnnián,this year
九,jiǔ,nine
咖啡,kāfēi,coffee
咖啡馆,kāfēi guǎn,coffee shop/coffee house
看,kàn,to read (silently) or to study
口,kǒu,the measure word for # of family members
块,kuài,money (in spoken form)
老师,lǎoshī,teacher / professor
了,le,particle word to indicate coming of new circumstances
两,liǎng,two (measure word)
零,líng,zero
六,liù,six
吗,ma,particle which turns something into a question
买,mǎi,to buy / to purchase
妈妈,māma,mother
猫,māo,cat
美国,Měiguó,USA
妹妹,mèimei,younger sister
们,men,particle word which indicate coming of new circumstances
明天,míngtiān,tomorrow
名字,míngzì,name
那,nà,that
哪,nǎ,which
那儿,nà'er,there
哪儿,nǎ'er,where
奶奶,nǎinai,paternal grandmother
呢,ne,repeats the question
你,nǐ,you (singular)
你好,nǐ hǎo,hello (singular)
年,nián,year
您,nín,you (polite)
女儿,nǚ'ér,daughter
朋友,péngyou,friend
七,qī,seven
钱,qián,money (qian)
请问,qǐngwèn,"the phrase ""may I ask you"""
去,qù,to go
人,rén,person
日本,Rìběn,Japan
日语,Rìyǔ,the Japanese language
三,sān,three
商店,shāngdiàn,store
谁,shéi,who / whom (interrogative)
生日,shēngrì,birthday
什么,shénme,what (pronoun)
十,shí,ten
是,shì,is / are
书,shū,book
说,shuō,to speak
四,sì,four
她,tā,her
他,tā,him
同学,tóngxué,classmate
图书馆,túshū guǎn,library
晚上,wǎnshàng,night
位,wèi,the universal measure word (formal)
问题,wèntí,problem / question
我,wǒ,me / I
五,wǔ,five
想,xiăng,to hope to
下午,xiàwǔ,afternoon
写,xiě,to write
喜欢,xǐhuan,to like
喜欢,xǐhuān,to like
姓,xìng,honorable name / surname
星期,xīngqí,week
星期日,xīngqí rì,sunday (ri)
学生,xuésheng,student
学习,xuéxí,to study
学校,xuéxiào,school
爷爷,yéye,paternal grandfather
一,yī,one
一点,yìdiăn,a little
英国,Yīngguó,England
英语,Yīngyǔ,English
医生,yīshēng,doctor
医院,yīyuàn,hospital
椅子,yǐzi,chair
有,yǒu,to have
语,yǔ,language
元,yuán,money (in written form)
月,yuè,month
在,zài,to be on/in
再见,zàijiàn,goodbye
怎么,zěnme,"how (indicating nature, condition or manner)"
这,zhè,this
这儿,zhèr,here
只,zhī,the measure word for animals we can hold by one hand
中国,Zhōngguó,China
中午,zhōngwǔ,noon
做,zuò,to do / to make
昨天,zuótiān,yesterday